tarih,ürün,kategori,satış_miktarı,birim_fiyat,bölge
2026-03-08,Ürün C,Giyim,473,161.3,Ankara
2026-02-09,Ürün C,Elektronik,248,129.81,İzmir
2026-04-05,Ürün B,Ev,94,105.06,Ankara
2026-04-07,Ürün A,Giyim,206,328.43,Ankara
2026-02-23,Ürün A,Elektronik,229,281.29,İzmir
2026-04-28,Ürün B,Elektronik,366,79.02,İzmir
2026-08-06,Ürün A,Giyim,108,311.72,Adana
2026-03-21,Ürün B,Elektronik,168,96.65,İstanbul
2026-03-13,Ürün C,Giyim,307,142.56,Gaziantep
2026-10-13,Ürün C,Ev,164,164.31,Konya
2026-05-02,Ürün C,Ev,168,126.39,Gaziantep
2026-04-08,Ürün A,Ev,53,343.11,Ankara
2026-08-05,Ürün C,Giyim,294,137.19,Bursa
2026-01-30,Ürün B,Ev,263,79.94,Ankara
2026-08-04,Ürün A,Giyim,266,281.79,İzmir
2026-12-24,Ürün A,Ev,107,324.41,İstanbul
2026-06-27,Ürün A,Giyim,362,287.68,Adana
2026-02-14,Ürün C,Ev,364,142.46,İzmir
2026-05-04,Ürün A,Elektronik,330,269.13,Adana
2026-03-07,Ürün B,Ev,411,112.12,İzmir
2026-12-27,Ürün C,Giyim,70,177.2,Konya
2026-04-24,Ürün B,Elektronik,191,71.95,Konya
2026-09-29,Ürün C,Giyim,371,190.32,Antalya
2026-03-27,Ürün B,Ev,107,77.5,Bursa
2026-08-31,Ürün C,Ev,115,149.91,Gaziantep
2026-03-04,Ürün A,Ev,450,263.4,İstanbul
2026-11-11,Ürün C,Giyim,67,159.28,Gaziantep
2026-12-29,Ürün B,Giyim,157,84.62,Konya
2026-07-03,Ürün A,Elektronik,92,333.71,Adana
2026-12-15,Ürün A,Ev,261,250.54,Ankara
2026-04-17,Ürün C,Giyim,222,180.17,Antalya
2026-12-26,Ürün C,Ev,311,122.59,Antalya
2026-08-02,Ürün B,Giyim,240,91.88,İzmir
2026-04-27,Ürün A,Giyim,179,274.06,Konya
2026-08-12,Ürün C,Giyim,407,193.5,İstanbul
2026-02-02,Ürün C,Ev,415,162.0,Bursa
2026-12-08,Ürün C,Giyim,160,195.09,İstanbul
2026-01-20,Ürün A,Giyim,313,301.37,Ankara
2026-08-22,Ürün A,Elektronik,86,330.57,Antalya
2026-02-10,Ürün A,Elektronik,205,252.54,Bursa
2026-10-08,Ürün B,Giyim,234,103.12,Adana
2026-02-25,Ürün C,Elektronik,289,138.02,Bursa
2026-06-07,Ürün A,Elektronik,327,297.07,İstanbul
2026-11-11,Ürün C,Giyim,179,147.08,İstanbul
2026-12-30,Ürün C,Giyim,245,172.42,İzmir
2026-04-15,Ürün B,Elektronik,217,86.36,Gaziantep
2026-06-21,Ürün C,Ev,349,120.74,Antalya
2026-02-25,Ürün B,Ev,464,86.69,Ankara
2026-12-08,Ürün B,Giyim,103,81.33,Antalya
2026-04-09,Ürün B,Giyim,323,74.7,Bursa
2026-06-05,Ürün B,Elektronik,216,89.88,Konya
2026-05-09,Ürün C,Giyim,464,135.79,Antalya
2026-12-28,Ürün C,Giyim,206,124.45,İzmir
2026-10-29,Ürün A,Elektronik,359,267.62,Adana
2026-08-19,Ürün A,Elektronik,413,308.04,Adana
2026-11-27,Ürün C,Giyim,176,186.73,Bursa
2026-05-09,Ürün C,Giyim,443,120.24,Gaziantep
2026-08-22,Ürün A,Elektronik,15,318.3,Gaziantep
2026-01-14,Ürün B,Elektronik,444,94.63,Ankara
2026-07-06,Ürün A,Ev,62,268.77,Antalya
2026-08-07,Ürün C,Elektronik,119,144.38,Ankara
2026-05-27,Ürün A,Giyim,80,342.08,İzmir
2026-01-09,Ürün A,Elektronik,72,287.29,Bursa
2026-06-20,Ürün A,Giyim,226,265.99,Antalya
2026-04-11,Ürün B,Elektronik,434,111.22,Bursa
2026-03-26,Ürün B,Giyim,411,115.23,Konya
2026-06-05,Ürün C,Giyim,336,134.03,Bursa
2026-03-05,Ürün B,Ev,452,109.46,Konya
2026-10-04,Ürün A,Ev,429,286.72,Bursa
2026-08-21,Ürün C,Giyim,492,191.59,Ankara
2026-02-16,Ürün B,Elektronik,33,101.8,İstanbul
2026-05-17,Ürün A,Elektronik,357,347.5,Antalya
2026-08-09,Ürün C,Elektronik,52,148.75,Bursa
2026-09-29,Ürün C,Ev,285,123.58,Gaziantep
2026-04-01,Ürün A,Elektronik,411,327.2,Gaziantep
2026-04-05,Ürün C,Giyim,332,198.55,Konya
2026-05-12,Ürün A,Giyim,238,274.24,Gaziantep
2026-03-27,Ürün B,Elektronik,178,104.52,Bursa
2026-03-12,Ürün A,Elektronik,302,272.78,İzmir
2026-11-12,Ürün C,Ev,470,167.51,Ankara
2026-05-29,Ürün C,Ev,67,126.34,Adana
2026-03-20,Ürün C,Giyim,265,149.3,İzmir
2026-04-29,Ürün A,Ev,401,252.94,Konya
2026-04-04,Ürün C,Giyim,445,195.48,Bursa
2026-01-06,Ürün B,Elektronik,251,73.85,Bursa
2026-11-16,Ürün A,Ev,333,308.51,İzmir
2026-12-07,Ürün C,Ev,485,186.93,Bursa
2026-03-28,Ürün A,Ev,360,342.86,Gaziantep
2026-03-13,Ürün C,Ev,344,137.52,Adana
2026-01-20,Ürün C,Giyim,315,137.41,Adana
2026-03-02,Ürün C,Elektronik,159,120.94,Antalya
2026-05-05,Ürün A,Ev,56,313.9,Bursa
2026-07-15,Ürün B,Elektronik,113,115.84,Adana
2026-07-21,Ürün B,Ev,240,103.26,İstanbul
2026-05-15,Ürün B,Giyim,431,83.79,İstanbul
2026-06-02,Ürün A,Ev,456,332.58,Gaziantep
2026-05-10,Ürün C,Ev,16,142.99,İstanbul
2026-02-01,Ürün B,Ev,363,77.91,Gaziantep
2026-10-14,Ürün B,Ev,285,103.43,Ankara
2026-08-07,Ürün A,Giyim,390,290.84,İstanbul
2026-08-19,Ürün C,Giyim,20,142.4,Bursa
2026-04-08,Ürün A,Ev,321,288.84,İstanbul
2026-06-15,Ürün B,Elektronik,151,75.57,Gaziantep
2026-02-17,Ürün C,Elektronik,144,171.01,İstanbul
2026-09-23,Ürün C,Elektronik,282,166.29,İstanbul
2026-01-21,Ürün B,Elektronik,136,97.08,Ankara
2026-05-26,Ürün C,Giyim,186,127.42,Bursa
2026-04-15,Ürün A,Elektronik,60,331.24,Bursa
2026-10-17,Ürün A,Elektronik,324,274.5,Antalya
2026-06-22,Ürün B,Elektronik,270,91.94,Antalya
2026-10-13,Ürün A,Ev,364,286.94,Ankara
2026-04-23,Ürün C,Giyim,113,164.26,Ankara
2026-10-13,Ürün C,Elektronik,166,190.3,Bursa
2026-07-01,Ürün A,Giyim,51,335.77,Antalya
2026-08-09,Ürün A,Giyim,290,349.55,Ankara
2026-05-30,Ürün A,Elektronik,468,342.38,Adana
2026-06-09,Ürün B,Elektronik,475,119.2,İstanbul
2026-02-19,Ürün B,Giyim,183,82.78,Adana
2026-04-02,Ürün B,Ev,123,93.8,Antalya
2026-03-22,Ürün C,Elektronik,303,197.81,Antalya
2026-04-17,Ürün C,Ev,164,152.75,Gaziantep
2026-10-01,Ürün A,Ev,449,259.03,Adana
2026-05-02,Ürün B,Giyim,35,99.89,İzmir
2026-07-30,Ürün C,Elektronik,307,153.62,İzmir
2026-05-15,Ürün A,Ev,195,341.21,Ankara
2026-03-05,Ürün C,Giyim,185,184.83,Ankara
2026-01-10,Ürün C,Giyim,464,122.05,Konya
2026-10-19,Ürün C,Giyim,301,121.96,Adana
2026-04-22,Ürün A,Elektronik,124,269.14,Konya
2026-10-28,Ürün B,Ev,83,99.23,Bursa
2026-10-13,Ürün B,Giyim,10,91.94,Adana
2026-05-25,Ürün B,Ev,17,111.79,Konya
2026-08-10,Ürün C,Elektronik,463,155.33,Adana
2026-05-10,Ürün C,Ev,85,151.49,Ankara
2026-05-19,Ürün C,Ev,364,190.49,Antalya
2026-01-02,Ürün B,Elektronik,421,114.44,İstanbul
2026-09-10,Ürün A,Ev,339,318.99,Adana
2026-01-25,Ürün C,Giyim,246,197.9,Konya
2026-01-10,Ürün C,Ev,55,130.29,Gaziantep
2026-06-27,Ürün C,Giyim,347,183.44,Bursa
2026-09-25,Ürün A,Elektronik,126,331.31,İzmir
2026-02-12,Ürün C,Giyim,101,125.84,Bursa
2026-08-22,Ürün A,Elektronik,330,254.97,Konya
2026-02-22,Ürün C,Giyim,319,199.58,Bursa
2026-02-08,Ürün B,Elektronik,435,117.73,Adana
2026-02-15,Ürün B,Elektronik,46,71.1,Ankara
2026-06-01,Ürün B,Giyim,112,113.03,Gaziantep
2026-12-30,Ürün C,Ev,112,190.95,Adana
2026-12-10,Ürün C,Giyim,384,124.38,İzmir
2026-01-08,Ürün C,Giyim,129,152.5,İstanbul
2026-07-21,Ürün B,Ev,127,72.19,Ankara
2026-08-04,Ürün A,Giyim,490,323.79,Ankara
2026-06-27,Ürün A,Elektronik,405,308.94,İstanbul
2026-05-23,Ürün B,Ev,497,100.84,İzmir
2026-04-26,Ürün B,Elektronik,218,82.68,Adana
2026-08-19,Ürün A,Elektronik,150,260.64,Konya
2026-06-01,Ürün A,Giyim,279,327.58,Gaziantep
2026-08-26,Ürün C,Giyim,156,142.46,Adana
2026-03-03,Ürün B,Ev,345,98.9,Gaziantep
2026-12-03,Ürün A,Ev,12,336.43,Gaziantep
2026-12-24,Ürün A,Giyim,61,304.7,Gaziantep
2026-12-02,Ürün B,Giyim,378,86.12,Ankara
2026-06-23,Ürün A,Elektronik,129,259.71,Gaziantep
2026-03-25,Ürün B,Giyim,91,108.59,Ankara
2026-10-12,Ürün C,Ev,374,188.08,Adana
2026-06-08,Ürün A,Ev,464,306.75,Bursa
2026-12-14,Ürün B,Ev,427,88.62,Bursa
2026-03-23,Ürün A,Ev,289,320.35,Ankara
2026-08-08,Ürün C,Giyim,204,122.78,Adana
2026-08-22,Ürün C,Elektronik,180,164.26,Konya
2026-08-02,Ürün B,Giyim,345,90.4,Gaziantep
2026-12-02,Ürün B,Giyim,207,72.11,Adana
2026-05-02,Ürün A,Giyim,177,279.11,Konya
2026-04-24,Ürün A,Ev,277,266.29,Konya
2026-08-16,Ürün C,Giyim,63,197.63,Bursa
2026-06-11,Ürün C,Giyim,208,147.48,Konya
2026-09-25,Ürün A,Elektronik,314,348.58,Ankara
2026-07-29,Ürün A,Giyim,125,320.6,İstanbul
2026-02-25,Ürün C,Giyim,363,135.84,Adana
2026-08-25,Ürün B,Ev,23,88.42,Konya
2026-12-25,Ürün A,Giyim,431,254.49,Adana
2026-02-17,Ürün B,Elektronik,12,96.74,Konya
2026-07-07,Ürün B,Ev,187,116.11,Gaziantep
2026-07-31,Ürün A,Giyim,177,281.96,Antalya
2026-03-22,Ürün A,Ev,154,292.86,Konya
2026-02-05,Ürün B,Ev,121,115.77,Konya
2026-12-08,Ürün C,Elektronik,203,144.44,İzmir
2026-11-09,Ürün B,Elektronik,198,112.11,Ankara
2026-11-03,Ürün B,Ev,206,89.19,İzmir
2026-10-02,Ürün B,Giyim,147,77.18,Konya
2026-06-24,Ürün B,Elektronik,234,99.48,Adana
2026-12-25,Ürün A,Ev,393,291.2,Gaziantep
2026-04-06,Ürün B,Elektronik,333,108.75,Ankara
2026-11-10,Ürün A,Elektronik,375,326.76,Antalya
2026-10-19,Ürün B,Giyim,457,96.23,Konya
2026-05-30,Ürün B,Ev,184,71.63,Konya
2026-12-12,Ürün B,Ev,173,100.55,Antalya
2026-04-11,Ürün C,Ev,209,137.77,Ankara
2026-07-05,Ürün B,Elektronik,153,102.46,Adana
2026-04-02,Ürün B,Elektronik,189,102.91,Gaziantep
2026-11-17,Ürün C,Elektronik,127,131.99,Ankara
2026-04-05,Ürün C,Giyim,179,143.75,Konya
2026-10-05,Ürün A,Elektronik,435,299.64,Bursa
2026-07-18,Ürün B,Elektronik,225,102.84,Gaziantep
2026-05-12,Ürün B,Elektronik,203,71.31,İzmir
2026-10-24,Ürün C,Ev,413,148.13,İzmir
2026-03-02,Ürün C,Elektronik,118,143.8,Antalya
2026-09-03,Ürün B,Giyim,109,84.04,İstanbul
2026-12-20,Ürün A,Elektronik,346,293.39,İzmir
2026-09-18,Ürün C,Giyim,456,181.36,Bursa
2026-02-22,Ürün C,Ev,72,180.51,İstanbul
2026-08-04,Ürün B,Giyim,363,106.9,Ankara
2026-09-22,Ürün A,Ev,490,250.06,Gaziantep
2026-12-12,Ürün A,Ev,117,255.31,İstanbul
2026-10-17,Ürün C,Ev,212,155.35,Bursa
2026-01-07,Ürün B,Ev,414,111.8,Antalya
2026-11-05,Ürün B,Ev,255,72.76,Ankara
2026-02-21,Ürün B,Ev,132,72.0,Adana
2026-06-11,Ürün B,Elektronik,319,70.36,Ankara
2026-06-18,Ürün B,Giyim,427,91.7,Gaziantep
2026-03-01,Ürün B,Ev,222,104.38,Adana
2026-10-14,Ürün B,Elektronik,24,117.92,Adana
2026-08-05,Ürün C,Ev,126,150.51,Gaziantep
2026-09-17,Ürün C,Giyim,483,148.66,İstanbul
2026-03-26,Ürün A,Giyim,449,306.27,Bursa
2026-02-23,Ürün A,Giyim,50,253.43,Adana
2026-04-08,Ürün C,Giyim,287,173.6,Adana
2026-12-31,Ürün C,Giyim,48,136.83,Ankara
2026-06-21,Ürün A,Giyim,242,291.68,Antalya
2026-07-01,Ürün B,Ev,46,93.22,Ankara
2026-04-11,Ürün C,Elektronik,460,159.29,Ankara
2026-03-24,Ürün B,Elektronik,445,97.06,Adana
2026-08-05,Ürün C,Giyim,224,184.76,Antalya
2026-04-26,Ürün C,Ev,37,122.24,İzmir
2026-08-27,Ürün A,Elektronik,327,272.29,Gaziantep
2026-05-02,Ürün B,Ev,399,99.43,Ankara
2026-12-23,Ürün C,Elektronik,435,161.77,İstanbul
2026-03-17,Ürün B,Elektronik,45,102.93,Ankara
2026-04-08,Ürün A,Ev,391,320.32,Ankara
2026-07-25,Ürün A,Giyim,197,324.51,İzmir
2026-12-01,Ürün B,Elektronik,85,105.76,İzmir
2026-09-23,Ürün B,Ev,289,100.92,Bursa
2026-04-18,Ürün C,Ev,215,130.81,Konya
2026-06-13,Ürün B,Elektronik,54,101.57,Ankara
2026-08-24,Ürün B,Elektronik,403,104.54,Konya
2026-11-05,Ürün A,Ev,315,346.41,İzmir
2026-04-13,Ürün C,Elektronik,115,148.74,Konya
2026-12-02,Ürün A,Giyim,96,346.0,Gaziantep
2026-10-19,Ürün C,Elektronik,124,167.61,Adana
2026-06-27,Ürün A,Giyim,352,290.39,İzmir
2026-10-06,Ürün B,Elektronik,154,117.93,Gaziantep
2026-05-13,Ürün C,Giyim,313,197.97,Konya
2026-02-08,Ürün C,Giyim,37,129.58,Antalya
2026-12-03,Ürün B,Ev,31,104.47,Gaziantep
2026-02-10,Ürün B,Ev,33,91.24,İstanbul
2026-11-21,Ürün B,Elektronik,456,115.01,Antalya
2026-06-23,Ürün B,Elektronik,287,81.12,Adana
2026-11-18,Ürün B,Ev,284,101.48,Adana
2026-01-31,Ürün B,Giyim,378,91.88,İzmir
2026-11-13,Ürün B,Ev,293,88.26,Konya
2026-01-05,Ürün B,Ev,358,111.15,Ankara
2026-03-03,Ürün A,Giyim,103,284.74,İstanbul
2026-11-27,Ürün B,Giyim,414,100.17,Bursa
2026-01-22,Ürün B,Giyim,76,105.29,İstanbul
2026-03-20,Ürün A,Giyim,275,252.71,Adana
2026-06-13,Ürün C,Elektronik,486,154.87,İstanbul
2026-11-05,Ürün C,Giyim,129,193.12,İzmir
2026-08-12,Ürün B,Giyim,295,89.31,Konya
2026-08-30,Ürün B,Giyim,275,77.69,Antalya
2026-09-13,Ürün C,Ev,264,130.02,İzmir
2026-11-06,Ürün C,Ev,478,168.75,İzmir
2026-11-19,Ürün B,Giyim,322,105.21,Adana
2026-08-19,Ürün B,Giyim,114,108.16,Gaziantep
2026-05-22,Ürün B,Elektronik,164,107.89,Ankara
2026-06-29,Ürün C,Elektronik,289,179.86,Konya
2026-02-16,Ürün B,Giyim,304,77.45,Gaziantep
2026-05-18,Ürün C,Giyim,357,156.52,İstanbul
2026-07-05,Ürün C,Ev,417,162.23,Adana
2026-09-26,Ürün C,Ev,49,146.98,İstanbul
2026-03-18,Ürün C,Elektronik,258,196.43,Bursa
2026-01-14,Ürün C,Giyim,449,192.99,Antalya
2026-06-29,Ürün B,Giyim,497,92.88,Gaziantep
2026-02-11,Ürün A,Ev,414,296.69,Antalya
2026-09-21,Ürün C,Elektronik,107,191.81,Bursa
2026-02-25,Ürün C,Giyim,335,188.22,Konya
2026-06-13,Ürün C,Elektronik,223,133.97,Konya
2026-02-08,Ürün C,Elektronik,158,124.7,Ankara
2026-05-15,Ürün B,Ev,70,95.73,Bursa
2026-10-30,Ürün C,Elektronik,420,145.34,Gaziantep
2026-11-22,Ürün C,Ev,253,148.29,Bursa
2026-04-24,Ürün B,Ev,370,75.55,Adana
2026-07-14,Ürün A,Elektronik,58,267.83,Gaziantep
2026-06-14,Ürün A,Elektronik,255,271.09,Konya
2026-03-18,Ürün B,Elektronik,154,73.43,Antalya
2026-12-30,Ürün C,Ev,383,168.42,Bursa
2026-09-04,Ürün C,Ev,10,141.33,Antalya
2026-10-29,Ürün B,Giyim,310,86.04,Adana
2026-11-25,Ürün B,Ev,367,83.65,Konya
2026-11-03,Ürün B,Elektronik,307,99.7,Adana
2026-05-29,Ürün B,Giyim,311,75.82,Antalya
2026-08-29,Ürün C,Giyim,273,193.52,Konya
2026-07-25,Ürün C,Giyim,387,144.97,İstanbul
2026-03-16,Ürün C,Giyim,488,176.81,Konya
2026-02-16,Ürün A,Ev,492,305.16,Gaziantep
2026-07-04,Ürün B,Giyim,73,118.32,İzmir
2026-08-20,Ürün A,Giyim,496,309.05,Ankara
2026-07-03,Ürün C,Elektronik,305,173.32,Bursa
2026-06-06,Ürün A,Ev,107,314.66,Bursa
2026-09-21,Ürün C,Ev,476,132.48,Antalya
2026-01-07,Ürün A,Ev,260,317.58,İzmir
2026-05-07,Ürün B,Ev,91,95.09,İstanbul
2026-06-10,Ürün B,Elektronik,222,82.08,Konya
2026-03-08,Ürün C,Ev,192,190.15,İzmir
2026-11-02,Ürün C,Elektronik,365,161.8,Konya
2026-05-12,Ürün A,Elektronik,134,328.61,İzmir
2026-08-13,Ürün C,Elektronik,274,177.16,Bursa
2026-05-31,Ürün B,Giyim,300,115.68,İstanbul
2026-09-21,Ürün B,Elektronik,488,106.55,İzmir
2026-07-31,Ürün A,Elektronik,421,307.17,Konya
2026-03-23,Ürün A,Elektronik,343,308.27,İzmir
2026-12-28,Ürün A,Giyim,183,294.97,Adana
2026-11-28,Ürün C,Elektronik,162,150.58,Antalya
2026-12-10,Ürün A,Ev,500,257.41,Bursa
2026-02-03,Ürün B,Ev,104,78.72,Bursa
2026-09-13,Ürün C,Giyim,385,140.07,Ankara
2026-06-05,Ürün C,Giyim,363,198.4,Ankara
2026-03-29,Ürün A,Elektronik,31,317.92,Bursa
2026-04-27,Ürün C,Ev,269,175.13,Bursa
2026-04-17,Ürün B,Giyim,230,88.83,Adana
2026-06-12,Ürün A,Giyim,80,319.05,Bursa
2026-08-21,Ürün A,Elektronik,379,279.68,Adana
2026-12-04,Ürün C,Ev,244,190.47,Ankara
2026-05-11,Ürün B,Ev,137,74.33,Bursa
2026-04-09,Ürün C,Elektronik,215,179.9,Bursa
2026-07-20,Ürün A,Elektronik,244,253.49,Gaziantep
2026-10-24,Ürün B,Elektronik,326,82.88,İzmir
2026-07-02,Ürün B,Elektronik,52,78.1,Bursa
2026-07-31,Ürün A,Giyim,212,319.86,Adana
2026-02-07,Ürün C,Ev,375,157.55,Antalya
2026-08-25,Ürün C,Elektronik,17,185.11,Bursa
2026-05-18,Ürün A,Elektronik,81,315.42,Bursa
2026-10-18,Ürün A,Giyim,488,282.41,Gaziantep
2026-02-14,Ürün C,Elektronik,86,125.77,İstanbul
2026-12-30,Ürün C,Ev,167,162.53,Adana
2026-12-16,Ürün C,Ev,62,120.09,Bursa
2026-10-05,Ürün C,Ev,455,186.02,Gaziantep
2026-06-16,Ürün B,Giyim,272,100.8,Ankara
2026-07-23,Ürün A,Elektronik,237,346.31,İzmir
2026-04-02,Ürün A,Elektronik,376,323.85,Adana
2026-07-22,Ürün B,Ev,175,74.04,İzmir
2026-03-03,Ürün C,Elektronik,323,188.4,Bursa
2026-04-06,Ürün C,Giyim,474,168.55,Gaziantep
2026-11-17,Ürün A,Ev,287,284.77,Ankara
2026-04-21,Ürün B,Elektronik,291,98.69,Ankara
2026-03-30,Ürün A,Ev,237,304.43,Bursa
2026-05-04,Ürün C,Ev,292,124.83,Bursa
2026-08-08,Ürün B,Ev,273,72.45,Konya
2026-08-16,Ürün C,Giyim,108,199.02,Bursa
2026-01-02,Ürün C,Giyim,255,159.07,Konya
2026-08-30,Ürün A,Giyim,276,304.17,İzmir
2026-02-27,Ürün A,Giyim,298,278.89,Ankara
2026-09-26,Ürün C,Giyim,113,188.15,İstanbul
2026-11-17,Ürün A,Ev,85,333.87,Konya
2026-06-21,Ürün B,Giyim,90,86.8,Adana
2026-03-10,Ürün B,Ev,289,116.97,İzmir
2026-11-24,Ürün A,Elektronik,143,295.96,Bursa
2026-03-22,Ürün B,Giyim,411,117.23,İzmir
2026-04-27,Ürün C,Giyim,18,186.96,İstanbul
2026-10-15,Ürün B,Ev,383,77.41,Adana
2026-12-25,Ürün C,Giyim,122,144.01,Antalya
2026-03-11,Ürün C,Ev,25,192.08,Antalya
2026-04-23,Ürün B,Elektronik,217,74.56,Gaziantep
2026-05-17,Ürün C,Elektronik,87,127.8,İzmir
2026-08-22,Ürün C,Elektronik,47,183.32,İzmir
2026-01-29,Ürün A,Elektronik,397,301.83,Konya
2026-01-28,Ürün A,Giyim,66,299.43,İstanbul
2026-09-08,Ürün B,Giyim,294,110.9,İstanbul
2026-09-10,Ürün A,Ev,383,298.69,İstanbul
2026-12-09,Ürün C,Elektronik,367,145.43,Gaziantep
2026-12-12,Ürün B,Elektronik,499,84.88,Ankara
2026-08-06,Ürün B,Elektronik,445,103.34,Ankara
2026-11-23,Ürün B,Elektronik,336,109.87,Adana
2026-11-15,Ürün C,Elektronik,55,178.32,İstanbul
2026-08-02,Ürün C,Ev,231,185.78,Antalya
2026-12-28,Ürün B,Giyim,122,88.08,Ankara
2026-12-27,Ürün A,Giyim,431,251.77,Antalya
2026-12-26,Ürün B,Giyim,66,107.95,Gaziantep
2026-09-30,Ürün B,Ev,248,79.31,İzmir
2026-10-13,Ürün C,Ev,319,173.72,Ankara
2026-05-26,Ürün C,Elektronik,123,194.55,Bursa
2026-08-09,Ürün A,Giyim,74,349.2,Bursa
2026-10-17,Ürün B,Elektronik,112,113.75,İzmir
2026-04-13,Ürün B,Giyim,236,75.13,Adana
2026-05-14,Ürün B,Ev,250,94.25,İzmir
2026-05-08,Ürün C,Giyim,102,175.38,İzmir
2026-08-30,Ürün A,Ev,322,301.0,Antalya
2026-08-06,Ürün B,Ev,302,104.31,Bursa
2026-11-11,Ürün B,Ev,258,89.23,Konya
2026-08-30,Ürün C,Giyim,67,135.07,Gaziantep
2026-08-31,Ürün A,Elektronik,200,323.78,Gaziantep
2026-02-28,Ürün A,Giyim,190,284.4,Adana
2026-12-03,Ürün A,Giyim,362,321.48,Konya
2026-05-20,Ürün C,Elektronik,447,120.23,Ankara
2026-01-25,Ürün C,Giyim,25,162.6,Antalya
2026-03-07,Ürün C,Ev,381,170.61,Gaziantep
2026-04-14,Ürün C,Elektronik,100,189.88,Gaziantep
2026-05-28,Ürün B,Ev,332,78.71,İstanbul
2026-11-09,Ürün C,Giyim,154,156.76,Konya
2026-04-01,Ürün C,Elektronik,173,129.29,Gaziantep
2026-04-04,Ürün A,Giyim,101,260.0,Antalya
2026-02-04,Ürün A,Ev,470,258.47,Konya
2026-02-21,Ürün A,Ev,368,328.53,Konya
2026-01-07,Ürün B,Ev,229,80.06,Bursa
2026-09-16,Ürün B,Elektronik,159,115.92,Antalya
2026-12-30,Ürün C,Ev,326,160.64,İstanbul
2026-02-26,Ürün C,Elektronik,485,187.58,İzmir
2026-10-01,Ürün C,Elektronik,80,123.77,Adana
2026-11-09,Ürün A,Ev,419,299.71,Ankara
2026-06-27,Ürün B,Giyim,346,104.97,Gaziantep
2026-08-19,Ürün A,Ev,174,254.82,Konya
2026-09-22,Ürün B,Giyim,130,110.2,İzmir
2026-07-24,Ürün B,Ev,481,94.76,Ankara
2026-11-08,Ürün C,Elektronik,269,133.35,Konya
2026-03-19,Ürün C,Ev,410,198.46,Konya
2026-10-25,Ürün A,Giyim,19,301.79,İstanbul
2026-05-19,Ürün C,Giyim,279,184.84,Bursa
2026-10-09,Ürün B,Elektronik,491,94.09,Konya
2026-06-15,Ürün B,Giyim,438,112.48,Konya
2026-06-01,Ürün B,Ev,276,71.42,Ankara
2026-04-14,Ürün C,Elektronik,351,120.14,Ankara
2026-11-01,Ürün B,Ev,426,100.22,İstanbul
2026-11-28,Ürün C,Ev,56,191.46,Gaziantep
2026-06-07,Ürün B,Elektronik,17,117.99,İzmir
2026-01-24,Ürün A,Elektronik,316,251.65,İstanbul
2026-05-02,Ürün A,Ev,264,254.02,Konya
2026-11-20,Ürün A,Giyim,94,299.33,İstanbul
2026-10-26,Ürün C,Elektronik,390,147.85,Bursa
2026-07-11,Ürün B,Elektronik,165,88.74,Ankara
2026-01-19,Ürün C,Elektronik,357,143.45,Konya
2026-09-07,Ürün C,Elektronik,372,153.05,Bursa
2026-12-14,Ürün C,Ev,93,145.45,Konya
2026-10-14,Ürün B,Elektronik,287,100.95,Bursa
2026-10-08,Ürün C,Giyim,45,141.51,Adana
2026-11-06,Ürün B,Ev,194,116.21,Bursa
2026-08-16,Ürün A,Elektronik,385,261.96,Konya
2026-08-17,Ürün C,Ev,210,171.48,Ankara
2026-01-27,Ürün C,Giyim,438,171.7,Gaziantep
2026-06-22,Ürün B,Ev,14,114.89,Antalya
2026-08-04,Ürün B,Giyim,65,71.88,Bursa
2026-04-29,Ürün A,Giyim,179,303.4,Konya
2026-01-21,Ürün A,Elektronik,342,295.82,İstanbul
2026-07-23,Ürün A,Giyim,415,307.28,Konya
2026-06-19,Ürün B,Ev,228,118.19,Antalya
2026-03-29,Ürün B,Ev,144,94.98,Antalya
2026-11-15,Ürün B,Giyim,183,72.42,Adana
2026-06-03,Ürün A,Elektronik,98,252.64,Gaziantep
2026-07-07,Ürün C,Elektronik,225,120.65,İzmir
2026-09-15,Ürün A,Ev,67,278.6,Adana
2026-04-15,Ürün C,Giyim,437,134.39,Gaziantep
2026-01-17,Ürün C,Giyim,420,175.68,Ankara
2026-07-21,Ürün B,Giyim,144,115.65,Adana
2026-05-15,Ürün C,Elektronik,156,149.14,Adana
2026-02-24,Ürün A,Giyim,468,338.69,Gaziantep
2026-12-06,Ürün C,Giyim,297,153.95,İstanbul
2026-12-28,Ürün C,Elektronik,219,191.85,Adana
2026-02-27,Ürün B,Elektronik,384,92.34,İzmir
2026-01-16,Ürün C,Ev,267,137.74,İstanbul
2026-04-27,Ürün A,Elektronik,146,345.82,Antalya
2026-12-29,Ürün B,Giyim,39,81.26,İstanbul
2026-03-15,Ürün B,Ev,162,94.15,Bursa
2026-04-10,Ürün A,Ev,444,346.6,Ankara
2026-03-18,Ürün B,Giyim,223,106.84,Gaziantep
2026-01-25,Ürün A,Ev,344,327.85,Bursa
2026-12-31,Ürün C,Giyim,152,183.91,Konya
2026-01-02,Ürün B,Giyim,427,81.84,Konya
2026-02-28,Ürün C,Elektronik,399,184.8,İstanbul
2026-11-08,Ürün C,Ev,420,131.68,Adana
2026-09-15,Ürün C,Ev,315,129.15,Bursa
2026-10-12,Ürün B,Giyim,319,97.92,İstanbul
2026-12-02,Ürün C,Elektronik,381,146.23,Gaziantep
